Y11 imS X,Y11 imS Y,Y11 reS X,Y11 reS Y,Y12 imS X,Y12 imS Y,Y12 reS X,Y12 reS Y,Y21 imS X,Y21 imS Y,Y21 reS X,Y21 reS Y,Y22 imS X,Y22 imS Y,Y22 reS X,Y22 reS Y
55000000000,0.0003662109346051158,55000000000,3.147895026575548e-08,55000000000,-9.708295874834467e-05,55000000000,-3.712680096368266e-09,55000000000,-0.0001109867408560152,55000000000,0.000861204436101574,55000000000,0.0002441406221051161,55000000000,0.0001396201053084135
55100000000,0.0003662109346103697,55100000000,3.147895027104645e-08,55100000000,-9.725947321879622e-05,55100000000,-3.712680096367165e-09,55100000000,-0.0001111885349302988,55100000000,0.000861204436101574,55100000000,0.00024414062211037,55100000000,0.0001396201053084166
55200000000,0.0003662109346156045,55200000000,3.147895026799899e-08,55200000000,-9.743598768924774e-05,55200000000,-3.712680096368169e-09,55200000000,-0.0001113903290045825,55200000000,0.0008612044361015739,55200000000,0.0002441406221156047,55200000000,0.0001396201053084135
55300000000,0.0003662109346208205,55300000000,3.14789502682101e-08,55300000000,-9.761250215969928e-05,55300000000,-3.712680096368026e-09,55300000000,-0.0001115921230788662,55300000000,0.000861204436101574,55300000000,0.0002441406221208207,55300000000,0.0001396201053084179
55400000000,0.0003662109346260177,55400000000,3.147895027216226e-08,55400000000,-9.778901663015081e-05,55400000000,-3.712680096367549e-09,55400000000,-0.0001117939171531498,55400000000,0.000861204436101574,55400000000,0.0002441406221260178,55400000000,0.000139620105308419
55500000000,0.0003662109346311959,55500000000,3.147895026701702e-08,55500000000,-9.796553110060234e-05,55500000000,-3.712680096367551e-09,55500000000,-0.0001119957112274335,55500000000,0.0008612044361015742,55500000000,0.0002441406221311962,55500000000,0.0001396201053084128
55600000000,0.0003662109346363556,55600000000,3.147895027104486e-08,55600000000,-9.814204557105391e-05,55600000000,-3.712680096367759e-09,55600000000,-0.0001121975053017172,55600000000,0.000861204436101574,55600000000,0.0002441406221363558,55600000000,0.0001396201053084178
55700000000,0.0003662109346414969,55700000000,3.147895026917377e-08,55700000000,-9.831856004150544e-05,55700000000,-3.71268009636709e-09,55700000000,-0.0001123992993760008,55700000000,0.0008612044361015742,55700000000,0.0002441406221414971,55700000000,0.0001396201053084186
55800000000,0.0003662109346466197,55800000000,3.147895027081279e-08,55800000000,-9.849507451195697e-05,55800000000,-3.712680096368254e-09,55800000000,-0.0001126010934502845,55800000000,0.000861204436101574,55800000000,0.0002441406221466198,55800000000,0.0001396201053084201
55900000000,0.0003662109346517241,55900000000,3.147895026533962e-08,55900000000,-9.86715889824085e-05,55900000000,-3.712680096366641e-09,55900000000,-0.0001128028875245681,55900000000,0.0008612044361015742,55900000000,0.0002441406221517243,55900000000,0.000139620105308416
56000000000,0.0004272460909068101,56000000000,3.147895027445301e-08,56000000000,-9.884810345286003e-05,56000000000,-3.712680096367957e-09,56000000000,-0.0001130046815988518,56000000000,0.0008612044361015742,56000000000,0.0003051757784068105,56000000000,0.0001396201053084286
56100000000,0.0003662109346618783,56100000000,3.147895027066676e-08,56100000000,-9.902461792331156e-05,56100000000,-3.7126800963681e-09,56100000000,-0.0001132064756731355,56100000000,0.0008612044361015739,56100000000,0.0002441406221618785,56100000000,0.0001396201053084178
56200000000,0.0004272460909169282,56200000000,3.147895027390722e-08,56200000000,-9.920113239376308e-05,56200000000,-3.712680096368467e-09,56200000000,-0.0001134082697474191,56200000000,0.0008612044361015739,56200000000,0.0003051757784169285,56200000000,0.000139620105308424
56300000000,0.0003662109346719604,56300000000,3.147895027148944e-08,56300000000,-9.937764686421467e-05,56300000000,-3.712680096367666e-09,56300000000,-0.0001136100638217028,56300000000,0.0008612044361015743,56300000000,0.0002441406221719606,56300000000,0.0001396201053084162
56400000000,0.0003662109346769747,56400000000,3.147895027373807e-08,56400000000,-9.955416133466618e-05,56400000000,-3.712680096367348e-09,56400000000,-0.0001138118578959865,56400000000,0.0008612044361015742,56400000000,0.0002441406221769749,56400000000,0.0001396201053084136
56500000000,0.0003662109346819711,56500000000,3.147895026531385e-08,56500000000,-9.973067580511771e-05,56500000000,-3.712680096367774e-09,56500000000,-0.0001140136519702701,56500000000,0.0008612044361015742,56500000000,0.0002441406221819714,56500000000,0.0001396201053084173
56600000000,0.0004272460909369499,56600000000,3.147895027146152e-08,56600000000,-9.990719027556926e-05,56600000000,-3.712680096367186e-09,56600000000,-0.0001142154460445538,56600000000,0.000861204436101574,56600000000,0.0003051757784369503,56600000000,0.0001396201053084218
