Y11 imS X,Y11 imS Y,Y11 reS X,Y11 reS Y,Y12 imS X,Y12 imS Y,Y12 reS X,Y12 reS Y,Y21 imS X,Y21 imS Y,Y21 reS X,Y21 reS Y,Y22 imS X,Y22 imS Y,Y22 reS X,Y22 reS Y
55000000000,0.0003662109346051156,55000000000,1.348773659697463e-09,55000000000,-0.000290759240309795,55000000000,-9.716282466860137e-10,55000000000,-0.0002868716245442165,55000000000,-0.0004018095160954186,55000000000,0.0005493164033551157,55000000000,0.0004434940696952954
55010000000,0.0004272460908556418,55010000000,1.348773658094728e-09,55010000000,-0.0002908121056262147,55010000000,-9.716282466834708e-10,55010000000,-0.0002869237830214062,55010000000,-0.0004018095160954186,55010000000,0.000610351559605642,55010000000,0.000443494069695299
55020000000,0.0003662109346061679,55020000000,1.348773665542486e-09,55020000000,-0.0002908649709426348,55020000000,-9.716282466756816e-10,55020000000,-0.0002869759414985962,55020000000,-0.0004018095160954187,55020000000,0.0005493164033561682,55020000000,0.0004434940696953012
55030000000,0.0003662109346066939,55030000000,1.348773663827627e-09,55030000000,-0.0002909178362590549,55030000000,-9.716282466830909e-10,55030000000,-0.0002870280999757858,55030000000,-0.0004018095160954186,55030000000,0.0005493164033566935,55030000000,0.000443494069695294
55040000000,0.0003662109346072194,55040000000,1.348773659925228e-09,55040000000,-0.0002909707015754747,55040000000,-9.716282466808099e-10,55040000000,-0.0002870802584529758,55040000000,-0.0004018095160954186,55040000000,0.0005493164033572194,55040000000,0.0004434940696952952
55050000000,0.000366210934607745,55050000000,1.348773660591196e-09,55050000000,-0.0002910235668918947,55050000000,-9.716282466764304e-10,55050000000,-0.0002871324169301656,55050000000,-0.0004018095160954186,55050000000,0.0005493164033577451,55050000000,0.0004434940696952977
55060000000,0.0003662109346082702,55060000000,1.348773668181968e-09,55060000000,-0.0002910764322083147,55060000000,-9.716282466797119e-10,55060000000,-0.0002871845754073555,55060000000,-0.0004018095160954185,55060000000,0.0005493164033582701,55060000000,0.0004434940696952971
55070000000,0.0003662109346087954,55070000000,1.348773662782253e-09,55070000000,-0.0002911292975247347,55070000000,-9.716282466787248e-10,55070000000,-0.0002872367338845453,55070000000,-0.0004018095160954184,55070000000,0.0005493164033587953,55070000000,0.0004434940696952957
55080000000,0.0003662109346093202,55080000000,1.348773657851815e-09,55080000000,-0.0002911821628411546,55080000000,-9.716282466843141e-10,55080000000,-0.0002872888923617353,55080000000,-0.0004018095160954186,55080000000,0.0005493164033593203,55080000000,0.0004434940696952937
55090000000,0.0003662109346098449,55090000000,1.348773664618694e-09,55090000000,-0.0002912350281575744,55090000000,-9.716282466769609e-10,55090000000,-0.0002873410508389251,55090000000,-0.0004018095160954184,55090000000,0.0005493164033598451,55090000000,0.0004434940696953005
55100000000,0.0003662109346103695,55100000000,1.348773663170851e-09,55100000000,-0.0002912878934739945,55100000000,-9.716282466816055e-10,55100000000,-0.0002873932093161149,55100000000,-0.0004018095160954185,55100000000,0.0005493164033603694,55100000000,0.0004434940696952953
