S11 deg X,S11 deg Y,S11 mag X,S11 mag YRe,S11 mag YReImag,S12 deg X,S12 deg Y,S12 mag X,S12 mag YRe,S12 mag YReImag,S21 deg X,S21 deg Y,S21 mag X,S21 mag YRe,S21 mag YReImag,S22 deg X,S22 deg Y,S22 mag X,S22 mag YRe,S22 mag YReImag
1000000000,-0.03868061505265947,1000000000,0.9999965892363687,-0.0006751018893076391,1000000000,89.84929593678034,1000000000,4.610638805058079e-07,0.0001752902539817907,1000000000,179.8355546386749,1000000000,-0.08552314428937757,0.0002454617617786277,1000000000,-0.02229226671252231,1000000000,0.9861346726745663,-0.0003836788404626827
1023292992.280754,-0.03869070932339362,1023292992.280754,0.9999965882505861,-0.0006752780663812724,1023292992.280754,89.85203405270042,1023292992.280754,4.632312961904822e-07,0.0001793732929161949,1023292992.280754,179.8324224390798,1023292992.280754,-0.08552314176796251,0.0002501371041268387,1023292992.280754,-0.022302431779079,1023292992.280754,0.9861346717209278,-0.0003838537940965533
1047128548.0509,-0.04416518827912116,1047128548.0509,0.999996517883625,-0.0007708254187898358,1047128548.0509,89.84926440400783,1047128548.0509,4.828940616787853e-07,0.0001835513879240606,1047128548.0509,179.8237720769483,1047128548.0509,-0.08552311221954501,0.0002630491825875468,1047128548.0509,-0.02777724993181446,1047128548.0509,0.98613462952719,-0.0004780825123529019
1071519305.237606,-0.04417575636142778,1071519305.237606,0.9999965167838973,-0.0007710098652411559,1071519305.237606,89.8518788213469,1071519305.237606,4.855714895639386e-07,0.0001878268541878171,1071519305.237606,179.8204922650194,1071519305.237606,-0.08552310910976156,0.0002679448637549911,1071519305.237606,-0.02778789214601357,1071519305.237606,0.9861346284616404,-0.0004782656781794942
1096478196.143185,-0.04418656969237193,1096478196.143185,0.999996515636747,-0.0007711985920393924,1096478196.143185,89.85443348483348,1096478196.143185,4.883120975795635e-07,0.0001922019088471018,1096478196.143185,179.8171360583402,1096478196.143185,-0.08552310592567862,0.0002729545786181578,1096478196.143185,-0.02779878133537992,1096478196.143185,0.9861346273496103,-0.0004784530947469098
1122018454.301963,-0.04419763400530408,1122018454.301963,0.9999965144400396,-0.0007713916992484152,1122018454.301963,89.8569297489431,1122018454.301963,4.911173957812041e-07,0.0001966788716131555,1122018454.301963,179.8137016774971,1122018454.301963,-0.08552310266547773,0.0002780809833933525,1122018454.301963,-0.02780992327347262,1122018454.301963,0.9861346261889958,-0.0004786448614245473
1148153621.496883,-0.0442089551666477,1148153621.496883,0.9999965131915445,-0.0007715892892545714,1148153621.496883,89.85936893718984,1148153621.496883,4.939889312078992e-07,0.0002012601162302014,1148153621.496883,179.8101873016343,1148153621.496883,-0.08552309932729368,0.000283326796167362,1148153621.496883,-0.02782132386785995,1148153621.496883,0.9861346249775955,-0.0004788410798882274
1174897554.939529,-0.04968468959664438,1174897554.939529,0.9999964337378386,-0.0008671585461266255,1174897554.939529,89.85902027197724,1174897554.939529,5.06748630370401e-07,0.0002059480437807793,1174897554.939529,179.8038589966378,1174897554.939529,-0.08552308037503575,0.00029277284409964,1174897554.939529,-0.02783298903270779,1174897554.939529,0.986134623293176,-0.0004790418517232786
1202264434.617413,-0.0496965426015344,1202264434.617413,0.9999964323589303,-0.0008673654183100225,1202264434.617413,89.8613491586887,1202264434.617413,5.099861796116166e-07,0.000210745195542973,1202264434.617413,179.800178997553,1202264434.617413,-0.08552307661274824,0.0002982658815682203,1202264434.617413,-0.02784492521053513,1202264434.617413,0.9861346219634073,-0.0004792472882157547
1230268770.812382,-0.04970867088400029,1230268770.812382,0.9999964309204443,-0.0008675770949277594,1230268770.812382,89.86362476124725,1230268770.812382,5.133001668620161e-07,0.0002156540873140872,1230268770.812382,179.7964132824639,1230268770.812382,-0.0855230727604797,0.0003038868670922461,1230268770.812382,-0.02785713860294415,1230268770.812382,0.9861346205753925,-0.000479457495902747
