Y11 imS X,Y11 imS Y,Y11 reS X,Y11 reS Y,Y12 imS X,Y12 imS Y,Y12 reS X,Y12 reS Y,Y21 imS X,Y21 imS Y,Y21 reS X,Y21 reS Y,Y22 imS X,Y22 imS Y,Y22 reS X,Y22 reS Y
55000000000,0.0003662109346051157,55000000000,4.957819779846473e-09,55000000000,-8.871200692620703e-05,55000000000,-6.27530285627321e-10,55000000000,-0.0001016709576972835,55000000000,0.0009875248664865891,55000000000,0.000244140622105116,55000000000,9.87712312478802e-05
55010000000,0.0004272460908556421,55010000000,4.957819780955684e-09,55010000000,-8.872813638201185e-05,55010000000,-6.275302856260892e-10,55010000000,-0.0001016894433259558,55010000000,0.0009875248664865887,55010000000,0.0003051757783556423,55010000000,9.877123124788099e-05
55020000000,0.000366210934606168,55020000000,4.957819784477537e-09,55020000000,-8.874426583781659e-05,55020000000,-6.275302856269437e-10,55020000000,-0.000101707928954628,55020000000,0.0009875248664865891,55020000000,0.0002441406221061684,55020000000,9.877123124788998e-05
55030000000,0.0003662109346066941,55030000000,4.957819787711057e-09,55030000000,-8.876039529362137e-05,55030000000,-6.275302856269312e-10,55030000000,-0.0001017264145833003,55030000000,0.0009875248664865893,55030000000,0.0002441406221066943,55030000000,9.877123124788656e-05
55040000000,0.0003662109346072195,55040000000,4.957819780459837e-09,55040000000,-8.877652474942611e-05,55040000000,-6.275302856275782e-10,55040000000,-0.0001017449002119725,55040000000,0.0009875248664865887,55040000000,0.0002441406221072198,55040000000,9.877123124788498e-05
55050000000,0.0003662109346077451,55050000000,4.95781978271057e-09,55050000000,-8.879265420523091e-05,55050000000,-6.275302856261744e-10,55050000000,-0.0001017633858406447,55050000000,0.0009875248664865891,55050000000,0.0002441406221077454,55050000000,9.877123124788982e-05
55060000000,0.0003662109346082706,55060000000,4.957819792250344e-09,55060000000,-8.880878366103569e-05,55060000000,-6.275302856262438e-10,55060000000,-0.000101781871469317,55060000000,0.0009875248664865891,55060000000,0.0002441406221082708,55060000000,9.87712312478921e-05
55070000000,0.0003662109346087955,55070000000,4.957819782423367e-09,55070000000,-8.882491311684043e-05,55070000000,-6.2753028562643e-10,55070000000,-0.0001018003570979892,55070000000,0.0009875248664865893,55070000000,0.000244140622108796,55070000000,9.877123124788955e-05
55080000000,0.0003662109346093203,55080000000,4.957819779884347e-09,55080000000,-8.88410425726452e-05,55080000000,-6.275302856267339e-10,55080000000,-0.0001018188427266613,55080000000,0.0009875248664865891,55080000000,0.0002441406221093206,55080000000,9.877123124788216e-05
55090000000,0.0003662109346098451,55090000000,4.957819789085132e-09,55090000000,-8.885717202844992e-05,55090000000,-6.275302856268846e-10,55090000000,-0.0001018373283553337,55090000000,0.0009875248664865891,55090000000,0.0002441406221098454,55090000000,9.877123124788794e-05
55100000000,0.0003662109346103697,55100000000,4.957819785578506e-09,55100000000,-8.887330148425472e-05,55100000000,-6.275302856266104e-10,55100000000,-0.0001018558139840059,55100000000,0.0009875248664865891,55100000000,0.00024414062211037,55100000000,9.877123124788662e-05
55110000000,0.0003662109346108941,55110000000,4.957819784932924e-09,55110000000,-8.888943094005947e-05,55110000000,-6.275302856272668e-10,55110000000,-0.0001018742996126781,55110000000,0.0009875248664865889,55110000000,0.0002441406221108942,55110000000,9.877123124788051e-05
55120000000,0.0003662109346114182,55120000000,4.957819784917043e-09,55120000000,-8.890556039586425e-05,55120000000,-6.275302856266856e-10,55120000000,-0.0001018927852413504,55120000000,0.0009875248664865893,55120000000,0.0002441406221114185,55120000000,9.877123124788753e-05
55130000000,0.0003662109346119422,55130000000,4.957819789985966e-09,55130000000,-8.892168985166902e-05,55130000000,-6.275302856264931e-10,55130000000,-0.0001019112708700226,55130000000,0.0009875248664865891,55130000000,0.0002441406221119425,55130000000,9.877123124789202e-05
55140000000,0.0004272460908624656,55140000000,4.957819788481129e-09,55140000000,-8.893781930747379e-05,55140000000,-6.275302856267017e-10,55140000000,-0.0001019297564986948,55140000000,0.0009875248664865887,55140000000,0.0003051757783624661,55140000000,9.877123124789215e-05
